,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
6061,14,US,301,(no suffix),US
6063,5,MD,287,(no suffix),MD
6091,15,MD,547,(no suffix),MD
6092,16,MD,5,R,MD
6096,17,MD,835,H,MD
6121,7,MD,276,(no suffix),MD
6162,21,MD,62,(no suffix),MD
6168,9,MD,750,(no suffix),MD
6170,7,MD,285,(no suffix),MD
6179,7,MD,545,(no suffix),MD
6181,22,US,50,UA,US
6183,1,MD,807,A,MD
6211,7,MD,286,(no suffix),MD
6212,7,MD,316,(no suffix),MD
6219,21,RP,81,(no suffix),IS
6236,2,MD,423,(no suffix),MD
6276,16,MD,975,A,MD
6280,3,MD,439,(no suffix),MD
6285,5,MD,318,(no suffix),MD
6307,5,MD,16,A,MD
6308,5,MD,302,(no suffix),MD
6309,3,MD,158,(no suffix),MD
6310,21,MD,910,C,MD
6339,16,MD,337,(no suffix),MD
6340,16,MD,332,(no suffix),MD
6377,16,MD,810,A,MD
6387,19,MD,362,(no suffix),MD
6404,14,MD,21,(no suffix),MD
6408,16,MD,650,(no suffix),MD
6428,10,MD,27,(no suffix),MD
6449,22,MD,350,(no suffix),MD
6450,22,MD,352,(no suffix),MD
6483,22,MD,374,(no suffix),MD
6486,21,MD,858,A,MD
6487,21,MD,858,E,MD
6489,14,RP,301,(no suffix),US
6501,16,MD,726,(no suffix),MD
6502,16,MD,769,C,MD
6509,16,MD,725,(no suffix),MD
6514,21,MD,858,F,MD
6564,21,MD,910,B,MD
6599,17,MD,18,A,MD
6624,17,MD,305,(no suffix),MD
6628,2,MD,32,(no suffix),MD
6636,14,MD,701,(no suffix),MD
6637,20,MD,954,B,MD
6646,1,MD,948,M,MD
6647,1,MD,948,AL,MD
6649,1,MD,948,AF,MD
6650,1,MD,831,C,MD
6651,21,MD,903,(no suffix),MD
6655,16,MD,202,D,MD
6656,1,MD,51,E,MD
6657,2,MD,3,D,MD
6659,3,MD,695,B,MD
6663,16,MD,810,C,MD
6671,1,MD,948,AD,MD
6672,1,MD,942,(no suffix),MD
6673,16,MD,202,F,MD
6675,13,MD,175,HC,MD
6677,15,MD,929,A,MD
6679,13,MD,104,A,MD
6681,15,RP,28,(no suffix),MD
6682,21,US,340,(no suffix),US
6684,2,MD,100,Q,MD
6687,10,MD,904,H,MD
6693,16,MD,210,M,MD
6696,16,MD,964,(no suffix),MD
6699,16,MD,694,(no suffix),MD
6701,6,MD,849,(no suffix),MD
6708,5,MD,308,(no suffix),MD
6710,5,MD,304,A,MD
6714,16,MD,458,A,MD
6716,16,MD,564,B,MD
6721,7,MD,727,A,MD
6722,7,MD,727,(no suffix),MD
6725,5,MD,619,(no suffix),MD
6726,5,MD,776,(no suffix),MD
6727,5,MD,404,D,MD
6729,6,MD,77,(no suffix),MD
6731,3,MD,7,J,MD
6735,16,MD,810,B,MD
6736,16,MD,810,D,MD
6740,22,MD,813,F,MD
6741,22,MD,731,C,MD
6742,13,RP,175,(no suffix),MD
6743,16,MD,4,PA,MD
6794,17,MD,18,X,MD
6796,17,MD,18,Z,MD
6797,17,MD,18,H,MD
6798,17,MD,18,F,MD
6815,4,MD,2,AE,MD
6821,4,MD,497,(no suffix),MD
6823,4,MD,508,(no suffix),MD
6843,17,MD,404,(no suffix),MD
6846,7,RP,95,(no suffix),IS
6858,10,RP,340,(no suffix),US
6877,17,MD,835,L,MD
6878,2,RP,895,B,IS
6884,14,MD,292,(no suffix),MD
6895,23,MD,610,(no suffix),MD
6901,4,MD,2,B,MD
6902,4,MD,2,C,MD
6903,4,MD,2,D,MD
6904,4,MD,2,G,MD
6905,4,MD,2,K,MD
6906,4,MD,2,P,MD
6929,14,MD,298,B,MD
6934,23,MD,575,H,MD
6936,23,MD,575,G,MD
6954,2,IS,895,A,IS
6957,12,MD,147,(no suffix),MD
6976,8,MD,229,(no suffix),MD
6981,2,RP,4,(no suffix),MD
6982,2,RP,3,(no suffix),MD
6992,14,MD,864,(no suffix),MD
6993,14,MD,855,A,MD
6994,14,MD,444,A,MD
6995,14,MD,313,(no suffix),MD
7002,13,MD,732,R,MD
7003,13,MD,851,(no suffix),MD
7011,17,MD,19,A,MD
7027,21,MD,60,A,MD
7028,21,MD,57,(no suffix),MD
7042,6,RP,140,(no suffix),MD
7088,15,MD,27,(no suffix),MD
7089,1,MD,61,(no suffix),MD
7093,2,MD,648,F,MD
7137,13,MD,432,(no suffix),MD
7138,13,MD,984,(no suffix),MD
7140,21,MD,77,(no suffix),MD
7142,20,MD,662,(no suffix),MD
7143,20,MD,565,(no suffix),MD
7146,10,MD,806,R,MD
7148,10,MD,904,I,MD
7182,20,MD,404,(no suffix),MD
7183,20,MD,404,AL,MD
7184,20,MD,370,(no suffix),MD
7193,17,MD,18,S,MD
7209,12,MD,152,A,MD
7217,2,RP,32,(no suffix),MD
7253,20,MD,579,(no suffix),MD
7256,20,MD,518,(no suffix),MD
7259,3,MD,125,(no suffix),MD
7273,6,RP,70,(no suffix),IS
7344,2,RP,195,(no suffix),IS
7406,3,MD,151,A,MD
7457,23,MD,707,D,MD
7463,20,MD,334,(no suffix),MD
7465,20,MD,309,(no suffix),MD
7547,2,MD,393,(no suffix),MD
7549,4,MD,2,S,MD
7563,8,MD,210,(no suffix),MD
7593,16,MD,978,B,MD
7594,16,MD,977,F,MD
7610,17,MD,303,(no suffix),MD
7645,21,RP,340,(no suffix),US
7659,12,RP,1,(no suffix),US
7665,4,MD,262,A,MD
7711,8,MD,257,(no suffix),MD
7738,16,RP,301,(no suffix),US
7800,13,MD,94,(no suffix),MD
7811,6,MD,852,G,MD
7832,3,MD,130,(no suffix),MD
7840,19,MD,920,(no suffix),MD
7848,8,MD,254,(no suffix),MD
7852,8,MD,488,(no suffix),MD
7855,8,MD,925,A,MD
7856,8,MD,925,(no suffix),MD
7859,22,MD,815,(no suffix),MD
7899,16,RP,4,(no suffix),MD
7913,23,MD,374,(no suffix),MD
7918,6,MD,854,B,MD
7919,6,MD,851,(no suffix),MD
7964,6,MD,852,H,MD
7965,3,MD,43,(no suffix),MD
8002,21,US,522,(no suffix),US
8004,2,MD,980,E,MD
8042,3,MD,88,(no suffix),MD
8050,6,MD,852,(no suffix),MD
8161,6,MD,904,A,MD
8211,16,RP,201,(no suffix),MD
8233,23,MD,992,F,MD
8273,23,MD,575,F,MD
8302,22,MD,348,(no suffix),MD
8315,22,MD,513,(no suffix),MD
8319,22,US,13,A,US
8353,22,MD,992,A,MD
8356,22,MD,992,C,MD
8358,22,MD,992,D,MD
8359,22,MD,992,E,MD
8361,23,MD,575,D,MD
8469,23,US,50,WB,US
8471,23,US,50,WC,US
8477,23,MD,575,E,MD
8497,23,MD,12,A,MD
8499,23,MD,90,(no suffix),MD
8504,23,MD,354,(no suffix),MD
8505,23,MD,359,(no suffix),MD
8507,23,MD,359,A,MD
8509,23,MD,359,B,MD
8519,23,MD,365,(no suffix),MD
8522,23,MD,367,(no suffix),MD
8526,23,MD,371,(no suffix),MD
8529,23,MD,375,(no suffix),MD
8534,23,MD,378,(no suffix),MD
8536,23,MD,378,A,MD
8538,23,MD,378,B,MD
8562,23,MD,568,(no suffix),MD
8570,23,MD,703,(no suffix),MD
8572,23,MD,707,A,MD
8606,12,MD,132,(no suffix),MD
8685,17,MD,18,Y,MD
8694,17,MD,309,(no suffix),MD
8708,15,MD,899,A,MD
8710,15,MD,655,G,MD
8719,2,MD,162,A,MD
8729,17,MD,662,(no suffix),MD
8737,12,MD,132,B,MD
8747,13,IS,95,(no suffix),IS
8786,1,MD,935,(no suffix),MD
8787,10,MD,904,F,MD
8934,17,MD,759,B,MD
8938,17,MD,802,(no suffix),MD
8940,17,MD,834,(no suffix),MD
8944,17,MD,835,(no suffix),MD
8946,17,MD,835,A,MD
8947,2,MD,70,C,MD
8970,2,MD,70,(no suffix),MD
8975,13,IS,70,(no suffix),IS
9026,13,MD,216,J,MD
9091,17,MD,18,G,MD
9100,1,MD,831,B,MD
9101,1,MD,831,D,MD
9115,2,MD,70,A,MD
9142,12,MD,138,(no suffix),MD
9188,15,MD,594,C,MD
9196,17,MD,18,V,MD
9346,17,MD,835,F,MD
9347,17,MD,835,G,MD
9350,17,MD,835,J,MD
9354,17,MD,837,(no suffix),MD
9419,4,MD,2,AF,MD
9458,17,MD,456,(no suffix),MD
9524,1,MD,658,(no suffix),MD
9794,17,RP,301,(no suffix),US
9954,16,MD,459,(no suffix),MD
10122,2,MD,778,Q,MD
10123,2,MD,778,E,MD
10124,2,MD,778,J,MD
10127,2,MD,778,M,MD
10151,4,MD,265,(no suffix),MD
10157,17,MD,8,A,MD
10163,17,RP,50,(no suffix),US
10289,17,MD,544,A,MD
10435,19,MD,529,(no suffix),MD
10440,18,MD,247,(no suffix),MD
10535,18,MD,944,A,MD
10536,18,MD,944,B,MD
10578,18,MD,489,(no suffix),MD
10579,16,MD,202,C,MD
10595,2,IS,195,(no suffix),IS
10602,10,MD,872,G,MD
10635,18,MD,944,E,MD
11118,13,MD,99,(no suffix),MD
11506,6,MD,853,E,MD
11551,13,MD,27,(no suffix),MD
11553,15,MD,80,(no suffix),MD
11554,18,MD,5,B,MD
11651,18,MD,242,(no suffix),MD
11652,18,MD,6,(no suffix),MD
11653,18,MD,236,A,MD
11705,18,MD,5,F,MD
11957,2,MD,997,E,MD
12183,4,MD,765,B,MD
12184,4,MD,765,D,MD
12186,4,MD,765,E,MD
12187,4,MD,765,F,MD
12188,4,MD,765,G,MD
12189,4,MD,765,H,MD
12317,4,MD,765,I,MD
12319,4,MD,765,J,MD
12320,4,MD,765,M,MD
12321,4,MD,765,N,MD
12323,4,MD,765,O,MD
12324,4,MD,765,P,MD
12329,4,MD,765,Y,MD
12330,4,MD,765,Z,MD
12366,13,MD,100,W,MD
12382,15,MD,927,(no suffix),MD
12427,15,MD,396,A,MD
12765,15,MD,998,A,MD
12768,15,MD,928,(no suffix),MD
12794,16,MD,5,L,MD
12858,2,MD,779,(no suffix),MD
12985,16,MD,967,D,MD
13022,12,RP,24,(no suffix),MD
13042,8,MD,625,(no suffix),MD
13194,12,MD,24,F,MD
13283,18,MD,5,A,MD
13643,16,MD,973,B,MD
13716,18,MD,944,C,MD
13717,18,MD,944,D,MD
14239,18,MD,863,A,MD
14241,18,MD,5,H,MD
14435,18,MD,5,J,MD
15067,16,MD,223,A,MD
15379,10,MD,870,G,MD
15727,21,MD,67,C,MD
15729,21,MD,67,E,MD
15747,10,MD,383,(no suffix),MD
15753,16,IS,495,(no suffix),IS
15760,13,MD,100,V,MD
15763,2,MD,908,A,MD
15773,10,US,15,A,US
15786,1,MD,36,B,MD
15787,1,MD,36,C,MD
15800,14,MD,289,(no suffix),MD
15806,17,MD,662,A,MD
15810,6,MD,27,A,MD
15832,8,MD,425,(no suffix),MD
15857,1,MD,807,D,MD
15858,1,MD,807,E,MD
15915,2,MD,931,R,MD
15953,2,MD,713,E,MD
15958,1,MD,658,A,MD
16049,2,MD,408,B,MD
16105,2,MD,2,AB,MD
16173,1,MD,831,A,MD
16191,2,MD,168,(no suffix),MD
16221,6,MD,854,A,MD
16241,16,MD,212,A,MD
16272,15,MD,594,D,MD
16302,18,MD,471,(no suffix),MD
16314,2,MD,4,(no suffix),MD
16321,5,MD,776,A,MD
16336,16,IS,95,X,IS
16344,5,MD,821,(no suffix),MD
16345,6,MD,86,(no suffix),MD
16356,14,MD,288,(no suffix),MD
16386,7,US,301,(no suffix),US
16399,7,MD,824,A,MD
16417,1,MD,937,(no suffix),MD
16516,21,MD,144,WB,MD
16547,2,MD,997,D,MD
16603,19,US,13,BU,US
16604,19,MD,364,(no suffix),MD
16610,5,MD,315,(no suffix),MD
16690,23,RP,50,(no suffix),US
16743,16,MD,564,A,MD
16773,2,MD,784,(no suffix),MD
16774,2,MD,785,(no suffix),MD
16775,2,MD,788,A,MD
16777,2,MD,796,A,MD
16780,2,MD,969,(no suffix),MD
16782,2,MD,980,B,MD
16785,2,MD,778,D,MD
16825,21,MD,845,A,MD
16831,21,MD,418,(no suffix),MD
16834,21,MD,144,WA,MD
16852,21,MD,491,(no suffix),MD
16853,21,MD,494,(no suffix),MD
16856,21,MD,550,(no suffix),MD
16859,21,MD,846,B,MD
16962,15,MD,614,C,MD
16963,15,MD,614,D,MD
16964,15,MD,614,B,MD
16966,15,MD,614,A,MD
16976,15,MD,655,B,MD
16977,15,MD,655,C,MD
16978,15,MD,655,E,MD
16979,15,MD,655,F,MD
16981,15,MD,655,H,MD
16982,15,MD,660,(no suffix),MD
17074,16,MD,637,A,MD
17077,16,RP,1,(no suffix),US
17130,21,MD,804,B,MD
17132,21,MD,805,B,MD
17133,21,MD,843,F,MD
17134,21,MD,843,I,MD
17136,21,MD,844,(no suffix),MD
17150,19,MD,920,Q,MD
17153,19,MD,920,F,MD
17154,19,MD,920,G,MD
17155,19,MD,920,H,MD
17157,19,MD,920,B,MD
17159,3,MD,45,C,MD
17160,3,MD,45,D,MD
17162,4,MD,2,AC,MD
17178,1,MD,935,A,MD
17180,18,MD,470,(no suffix),MD
17183,18,MD,520,(no suffix),MD
17188,8,MD,5,BU,MD
17208,14,MD,444,(no suffix),MD
17241,2,MD,258,(no suffix),MD
17244,4,MD,2,I,MD
17245,10,MD,194,A,MD
17247,5,MD,817,B,MD
17255,16,MD,210,R,MD
17256,6,MD,879,B,MD
17258,2,MD,695,(no suffix),MD
17279,16,MD,193,B,MD
17286,16,RP,3,(no suffix),MD
17296,16,MD,5,N,MD
17306,16,MD,218,(no suffix),MD
17316,5,MD,578,(no suffix),MD
17322,5,MD,328,(no suffix),MD
17379,13,MD,100,(no suffix),MD
17394,2,MD,100,R,MD
17404,2,MD,980,A,MD
17482,6,MD,668,(no suffix),MD
17483,6,MD,482,A,MD
17494,6,MD,850,D,MD
17496,6,MD,194,D,MD
17538,4,MD,764,A,MD
17577,16,MD,210,E,MD
17596,3,MD,151,B,MD
17635,5,MD,331,(no suffix),MD
17638,6,MD,75,(no suffix),MD
17660,8,MD,344,(no suffix),MD
17666,5,MD,404,AL,MD
17674,5,MD,404,BU,MD
17699,21,MD,67,B,MD
17710,5,MD,577,(no suffix),MD
17712,5,MD,617,(no suffix),MD
17725,20,MD,303,(no suffix),MD
17726,4,MD,2,F,MD
17803,2,MD,178,A,MD
17808,20,MD,329,(no suffix),MD
17884,2,MD,908,D,MD
17963,16,MD,197,(no suffix),MD
17970,16,MD,320,(no suffix),MD
17974,2,MD,3,C,MD
18295,5,MD,404,C,MD
18342,5,MD,404,T,MD
18398,21,MD,843,D,MD
18567,5,MD,404,R,MD
18568,5,MD,404,M,MD
18570,5,RP,404,(no suffix),MD
18663,4,MD,2,V,MD
18766,7,MD,7,E,MD
18781,13,IS,95,I,IS
18935,13,IS,895,(no suffix),IS
19072,15,MD,200,(no suffix),MD
19116,15,MD,929,F,MD
19862,15,MD,187,B,MD
20094,3,MD,295,(no suffix),MD
20124,6,IS,70,(no suffix),IS
20520,4,MD,2,AG,MD
20650,2,MD,665,B,MD
20821,15,MD,911,(no suffix),MD
21021,19,MD,640,(no suffix),MD
21023,19,MD,673,A,MD
21384,6,RP,26,(no suffix),MD
21572,15,IS,270,LN,IS
22615,16,RP,210,(no suffix),MD
22684,16,MD,201,A,MD
22690,16,MD,450,D,MD
22907,15,MD,390,(no suffix),MD
22954,3,MD,648,E,MD
22962,10,MD,15,D,MD
22986,3,MD,587,(no suffix),MD
23113,1,MD,949,A,MD
23267,17,MD,18,I,MD
23757,3,MD,695,C,MD
23900,14,MD,701,A,MD
23903,14,MD,514,(no suffix),MD
24743,13,MD,216,D,MD
24745,13,MD,985,A,MD
24785,24,RP,41,(no suffix),MD
25251,3,IS,895,ES,IS
25299,8,RP,5,(no suffix),MD
26074,1,MD,948,C,MD
26076,1,MD,948,AE,MD
26377,3,IS,895,EN,IS
26391,15,MD,185,C,MD
26480,16,MD,221,A,MD
27018,16,MD,810,E,MD
27246,20,MD,322,B,MD
27336,16,MD,637,(no suffix),MD
27339,3,IS,70,(no suffix),IS
27371,19,MD,460,(no suffix),MD
27372,19,MD,918,(no suffix),MD
27497,16,MD,950,D,MD
27800,1,MD,956,(no suffix),MD
27803,1,MD,952,(no suffix),MD
27852,3,MD,695,A,MD
27879,1,MD,948,Y,MD
27930,24,MD,144,(no suffix),MD
27957,13,MD,100,L,MD
28012,7,IS,95,(no suffix),IS
28067,20,MD,954,C,MD
28070,6,MD,27,B,MD
28071,6,MD,27,C,MD
28072,6,MD,27,D,MD
28074,6,MD,27,E,MD
28082,6,MD,75,A,MD
28091,6,US,40,(no suffix),US
28114,6,MD,194,E,MD
28133,6,MD,800,B,MD
28134,6,MD,800,C,MD
28138,6,MD,800,E,MD
28141,6,MD,808,B,MD
28148,6,MD,850,C,MD
28155,6,MD,850,I,MD
28157,6,MD,850,J,MD
28159,6,MD,851,A,MD
28161,6,MD,851,B,MD
28164,6,MD,852,A,MD
28165,6,MD,852,B,MD
28170,6,MD,852,F,MD
28174,6,MD,852,I,MD
28176,6,MD,852,J,MD
28179,6,MD,852,M,MD
28181,6,MD,853,A,MD
28183,6,MD,853,C,MD
28185,6,MD,853,F,MD
28189,6,MD,879,(no suffix),MD
28192,6,MD,879,C,MD
28194,6,MD,879,D,MD
28196,6,MD,879,E,MD
28197,6,MD,904,(no suffix),MD
28201,6,MD,904,D,MD
28234,7,MD,7,H,MD
28238,7,MD,213,A,MD
28242,7,MD,222,B,MD
28243,7,MD,222,C,MD
28252,7,MD,273,A,MD
28255,7,MD,274,A,MD
28257,7,MD,274,B,MD
28269,7,MD,284,(no suffix),MD
28355,4,MD,2,A,MD
28388,4,MD,2,H,MD
28391,4,MD,2,J,MD
28394,4,MD,2,L,MD
28396,4,MD,2,M,MD
28399,4,MD,2,O,MD
28422,4,MD,2,Q,MD
28430,4,MD,2,W,MD
28432,4,MD,2,X,MD
28434,4,MD,2,Y,MD
28470,4,MD,264,A,MD
28499,4,MD,509,(no suffix),MD
28504,4,MD,752,(no suffix),MD
28507,4,MD,761,(no suffix),MD
28509,4,MD,764,(no suffix),MD
28517,4,MD,765,C,MD
28544,4,MD,765,K,MD
28558,4,MD,765,T,MD
28560,4,MD,765,U,MD
28562,4,MD,765,V,MD
28563,4,MD,765,W,MD
28565,4,MD,765,X,MD
28568,4,MD,768,(no suffix),MD
28604,5,MD,312,A,MD
28609,5,MD,314,A,MD
28613,5,MD,315,A,MD
28614,5,MD,317,(no suffix),MD
28624,5,MD,331,A,MD
28634,5,MD,454,(no suffix),MD
28637,5,MD,485,(no suffix),MD
28639,5,MD,485,A,MD
28656,16,MD,977,H,MD
28657,16,MD,976,C,MD
28659,10,MD,17,A,MD
28661,5,MD,820,(no suffix),MD
28663,16,MD,976,A,MD
28666,16,MD,963,(no suffix),MD
28668,16,MD,769,D,MD
28669,16,MD,631,(no suffix),MD
28672,20,MD,565,B,MD
28721,3,MD,165,(no suffix),MD
28769,10,MD,874,D,MD
28797,3,MD,91,(no suffix),MD
28812,13,MD,985,(no suffix),MD
28863,3,MD,25,A,MD
28947,21,MD,615,(no suffix),MD
28948,21,US,522,C,US
29025,16,MD,216,(no suffix),MD
29058,14,MD,566,(no suffix),MD
29061,14,MD,446,(no suffix),MD
29064,14,MD,330,(no suffix),MD
29065,14,MD,313,A,MD
29076,19,MD,627,(no suffix),MD
29077,10,MD,491,(no suffix),MD
29137,14,MD,299,(no suffix),MD
29201,19,MD,388,(no suffix),MD
29350,12,MD,152,B,MD
29477,16,MD,950,(no suffix),MD
29529,16,MD,769,B,MD
29637,5,MD,817,A,MD
29901,20,MD,565,A,MD
29942,14,MD,674,(no suffix),MD
29950,7,MD,591,B,MD
30073,7,MD,310,(no suffix),MD
30149,18,MD,239,(no suffix),MD
30235,7,MD,781,(no suffix),MD
30396,16,MD,193,AA,MD
30429,16,RP,495,(no suffix),IS
30432,15,RP,6,(no suffix),MD
30479,16,MD,193,AD,MD
30480,16,MD,193,D,MD
30614,2,MD,796,(no suffix),MD
30616,7,MD,342,(no suffix),MD
30659,17,MD,18,W,MD
30679,16,MD,5,Q,MD
30734,16,MD,967,B,MD
30738,16,MD,974,(no suffix),MD
30763,16,MD,810,I,MD
30764,16,MD,980,D,MD
30765,16,MD,979,(no suffix),MD
31206,16,IS,95,CN,IS
31218,16,IS,95,CS,IS
31280,15,MD,928,C,MD
31407,3,MD,889,(no suffix),MD
31489,23,MD,921,D,MD
31533,23,MD,921,E,MD
31537,23,MD,921,F,MD
31542,23,MD,921,M,MD
31547,23,MD,921,R,MD
31583,2,MD,553,D,MD
31590,12,MD,22,B,MD
31619,23,MD,921,A,MD
31623,23,MD,921,B,MD
31627,23,MD,921,C,MD
31653,23,US,50,WA,US
31659,15,MD,97,A,MD
31725,14,MD,299,A,MD
31763,5,MD,404,U,MD
31897,16,MD,965,A,MD
31898,2,MD,3,AA,MD
31903,2,MD,3,AB,MD
31952,15,MD,117,A,MD
32008,24,IS,95,EN,IS
32009,3,IS,95,EN,IS
32096,2,MD,32,AH,MD
32098,2,MD,758,(no suffix),MD
32372,12,MD,132,C,MD
32411,20,MD,322,A,MD
32462,1,US,40,(no suffix),US
32630,17,MD,18,U,MD
32743,7,MD,7,K,MD
32786,16,MD,197,D,MD
32838,17,US,50,QB,US
32839,17,US,50,QC,US
33161,2,MD,713,F,MD
33333,10,MD,180,B,MD
33475,1,MD,952,B,MD
33643,16,MD,223,I,MD
33815,3,MD,139,A,MD
33984,3,MD,644,C,MD
34367,1,MD,47,A,MD
34445,16,MD,976,B,MD
34544,10,MD,874,B,MD
34546,10,MD,874,E,MD
34551,9,RP,50,(no suffix),US
34617,10,US,15,G,US
34684,10,MD,144,A,MD
34702,10,MD,194,B,MD
34705,10,MD,355,A,MD
34722,10,MD,871,F,MD
34725,10,MD,872,(no suffix),MD
34769,14,MD,449,(no suffix),MD
34781,14,MD,855,(no suffix),MD
34804,14,MD,856,(no suffix),MD
34913,13,IS,95,J,IS
34936,13,IS,95,K,IS
34937,13,IS,95,L,IS
34973,13,MD,100,M,MD
34989,13,MD,108,A,MD
34992,13,MD,125,(no suffix),MD
35013,13,MD,144,HB,MD
35020,13,MD,176,C,MD
35046,13,MD,732,V,MD
35049,13,MD,851,D,MD
35051,13,MD,851,F,MD
35052,13,MD,851,H,MD
35054,13,MD,851,J,MD
35056,13,MD,958,P,MD
35058,13,MD,981,(no suffix),MD
35331,2,MD,783,(no suffix),MD
35333,2,MD,797,(no suffix),MD
35368,8,US,301,C,US
35556,2,MD,990,(no suffix),MD
35631,23,MD,575,I,MD
35667,3,MD,45,A,MD
35761,18,MD,5,C,MD
36009,2,MD,170,A,MD
36011,16,MD,210,C,MD
36012,16,MD,210,I,MD
36031,3,MD,526,A,MD
36255,2,MD,100,P,MD
36283,3,MD,45,E,MD
36422,2,MD,553,A,MD
36505,1,MD,948,AM,MD
36630,21,MD,735,(no suffix),MD
36638,21,MD,858,G,MD
36654,15,MD,655,D,MD
36763,16,MD,4,PB,MD
36767,9,MD,795,(no suffix),MD
36799,16,MD,978,C,MD
36867,3,MD,45,B,MD
36935,15,MD,182,A,MD
37034,16,MD,197,C,MD
37088,1,MD,51,F,MD
37199,16,MD,5,M,MD
37708,24,MD,171,(no suffix),MD
38150,24,MD,372,(no suffix),MD
38289,2,MD,169,(no suffix),MD
38657,23,MD,575,A,MD
38682,21,US,40,H,US
38888,23,MD,575,L,MD
38947,24,MD,129,B,MD
39020,22,RP,50,(no suffix),US
39436,3,MD,644,D,MD
39909,3,MD,993,B,MD
40322,12,MD,740,B,MD
40893,16,MD,564,C,MD
40902,3,MD,795,(no suffix),MD
41002,15,IS,270,LS,IS
41256,16,MD,193,C,MD
41258,16,MD,193,E,MD
41485,2,MD,778,G,MD
41560,2,MD,778,N,MD
41648,16,MD,968,(no suffix),MD
41980,21,MD,846,D,MD
42150,21,US,522,B,US
42177,7,MD,591,A,MD
42189,2,MD,711,(no suffix),MD
42713,21,MD,843,B,MD
42782,16,MD,450,E,MD
42787,2,MD,260,(no suffix),MD
43182,5,MD,404,P,MD
43473,3,MD,129,A,MD
44048,16,MD,202,B,MD
47492,21,MD,67,F,MD
47620,21,MD,741,(no suffix),MD
47970,18,MD,4,B,MD
48070,2,MD,648,AB,MD
48499,1,MD,939,(no suffix),MD
48501,1,MD,951,(no suffix),MD
48649,9,MD,392,A,MD
48831,15,MD,185,A,MD
48839,15,MD,185,B,MD
48882,13,MD,932,F,MD
48972,18,MD,868,G,MD
48996,19,MD,358,A,MD
49098,15,MD,185,D,MD
49138,16,MD,3,G,MD
49165,2,MD,778,L,MD
49243,1,MD,949,(no suffix),MD
49617,7,MD,327,(no suffix),MD
49740,23,MD,575,B,MD
49765,8,MD,5,S,MD
49991,1,US,40,AF,US
50160,2,MD,216,A,MD
50161,13,MD,932,E,MD
50216,23,MD,575,J,MD
50222,23,MD,575,M,MD
50547,2,MD,779,A,MD
50615,2,MD,2,AD,MD
50873,2,MD,171,(no suffix),MD
50975,5,MD,404,K,MD
50976,5,MD,404,L,MD
51002,16,MD,450,F,MD
51079,16,MD,450,C,MD
51161,8,MD,210,J,MD
51277,2,MD,100,U,MD
51391,19,MD,920,P,MD
51766,9,MD,343,A,MD
51767,9,MD,819,(no suffix),MD
51806,2,MD,175,AA,MD
52602,9,MD,331,B,MD
52677,16,MD,210,J,MD
52992,2,MD,172,(no suffix),MD
53172,19,MD,920,O,MD
53173,19,MD,920,M,MD
53175,19,MD,920,K,MD
53176,19,MD,920,J,MD
53178,19,MD,920,D,MD
53180,19,MD,920,S,MD
53186,21,MD,847,D,MD
53229,6,MD,26,A,MD
53238,7,MD,896,(no suffix),MD
53551,15,MD,190,A,MD
53662,15,MD,899,(no suffix),MD
54056,12,MD,156,A,MD
54383,23,RP,113,(no suffix),US
55444,19,MD,675,D,MD
56016,9,MD,343,B,MD
56220,5,MD,619,B,MD
56307,19,MD,920,L,MD
57433,11,US,219,UL,US
58828,18,MD,945,(no suffix),MD
58890,19,MD,363,A,MD
58925,19,MD,920,C,MD
58940,19,MD,920,N,MD
58949,19,MD,920,R,MD
58952,19,MD,920,T,MD
59067,16,MD,210,U,MD
60516,1,MD,831,I,MD
60589,16,MD,450,A,MD
60642,18,MD,5,G,MD
60818,3,MD,746,A,MD
61256,1,MD,831,H,MD
62291,16,MD,210,L,MD
62292,16,MD,210,N,MD
62316,16,MD,210,T,MD
64761,1,MD,830,B,MD
64770,1,MD,831,F,MD
64772,1,MD,831,G,MD
64993,1,MD,830,A,MD
65139,21,MD,65,A,MD
66390,12,MD,155,A,MD
69150,1,MD,948,AP,MD
69722,23,MD,575,K,MD
69724,23,MD,575,N,MD
70664,16,MD,210,B,MD
70665,16,MD,210,D,MD
71160,15,MD,195,A,MD
71386,15,MD,929,E,MD
75871,16,MD,210,F,MD
76388,12,MD,22,A,MD
82065,2,US,301,(no suffix),US
83027,8,MD,382,F,MD
85842,2,MD,778,I,MD
86664,2,MD,915,H,MD
86995,2,MD,645,D,MD
89569,2,MD,468,B,MD
90107,2,MD,665,A,MD
97850,2,MD,214,B,MD
99658,16,IS,95,LN,IS
99670,11,MD,733,B,MD
99675,11,MD,826,R,MD
99862,3,IS,95,ES,IS
99864,24,IS,95,ES,IS
99865,24,IS,895,EN,IS
99867,24,IS,895,ES,IS
99942,16,RP,200,(no suffix),MD
100139,5,MD,404,S,MD
100200,16,IS,95,LS,IS
101806,8,MD,625,A,MD
102509,2,MD,216,I,MD
103964,15,MD,198,A,MD
104236,16,MD,967,(no suffix),MD
104239,16,MD,332,A,MD
105903,6,MD,831,J,MD
108071,16,MD,210,A,MD
114906,24,RP,395,A,IS
125360,6,MD,26,C,MD
125363,6,MD,26,D,MD
125415,6,MD,26,E,MD
