,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
790,4,RP,260,(no suffix),MD
795,24,IS,895,(no suffix),IS
796,24,IS,395,(no suffix),IS
802,24,IS,395,A,IS
805,19,MD,361,(no suffix),MD
811,9,MD,335,(no suffix),MD
814,9,US,50,(no suffix),US
815,4,MD,765,A,MD
816,23,MD,921,O,MD
821,23,MD,921,P,MD
829,2,MD,177,(no suffix),MD
847,19,MD,920,A,MD
849,19,MD,380,(no suffix),MD
852,8,MD,231,(no suffix),MD
855,8,MD,381,(no suffix),MD
856,7,MD,279,(no suffix),MD
857,7,MD,268,(no suffix),MD
868,16,MD,210,V,MD
877,8,MD,225,(no suffix),MD
878,9,MD,331,(no suffix),MD
884,6,MD,31,(no suffix),MD
885,6,MD,26,(no suffix),MD
891,2,MD,170,(no suffix),MD
892,3,US,40,(no suffix),US
894,8,MD,227,(no suffix),MD
899,3,MD,588,(no suffix),MD
900,2,MD,100,(no suffix),MD
904,22,MD,675,B,MD
908,7,IS,95,R,IS
916,2,MD,181,(no suffix),MD
920,2,MD,713,C,MD
922,2,MD,713,B,MD
925,2,MD,2,(no suffix),MD
928,24,MD,25,(no suffix),MD
929,24,MD,41,(no suffix),MD
944,16,MD,210,(no suffix),MD
947,24,RP,40,(no suffix),US
948,18,MD,4,A,MD
952,4,MD,2,N,MD
953,6,MD,32,(no suffix),MD
957,6,MD,88,(no suffix),MD
958,6,MD,30,BU,MD
959,3,MD,144,(no suffix),MD
960,3,MD,150,(no suffix),MD
965,2,MD,198,(no suffix),MD
966,2,MD,915,(no suffix),MD
968,7,US,40,(no suffix),US
970,3,MD,943,(no suffix),MD
973,9,MD,343,(no suffix),MD
978,12,MD,132,A,MD
979,3,IS,695,(no suffix),IS
998,4,MD,765,(no suffix),MD
1000,11,MD,42,(no suffix),MD
1017,2,MD,424,(no suffix),MD
1020,3,IS,95,(no suffix),IS
1036,3,MD,146,A,MD
1047,2,MD,175,(no suffix),MD
1059,13,MD,932,D,MD
1063,2,MD,408,(no suffix),MD
1065,13,MD,986,M,MD
1066,11,MD,495,(no suffix),MD
1067,11,MD,135,(no suffix),MD
1076,1,US,220,(no suffix),US
1078,1,MD,135,(no suffix),MD
1079,1,MD,135,B,MD
1081,4,MD,402,(no suffix),MD
1082,4,MD,760,(no suffix),MD
1084,4,MD,264,(no suffix),MD
1085,4,MD,261,(no suffix),MD
1093,2,MD,179,(no suffix),MD
1094,2,MD,931,U,MD
1095,2,MD,908,C,MD
1096,2,MD,908,B,MD
1101,24,MD,648,E,MD
1107,22,MD,992,B,MD
1111,13,MD,108,(no suffix),MD
1118,19,MD,363,(no suffix),MD
1122,6,MD,97,(no suffix),MD
1125,13,MD,175,(no suffix),MD
1126,7,MD,281,(no suffix),MD
1128,10,RP,15,(no suffix),US
1134,12,MD,24,(no suffix),MD
1147,7,IS,95,S,IS
1153,18,MD,244,(no suffix),MD
1156,18,MD,243,(no suffix),MD
1160,7,MD,282,(no suffix),MD
1164,2,MD,732,R,MD
1172,17,MD,19,(no suffix),MD
1173,10,US,15,BU,US
1238,24,MD,173,(no suffix),MD
1241,24,MD,147,(no suffix),MD
1251,10,MD,85,A,MD
1252,15,MD,108,(no suffix),MD
1253,24,MD,140,(no suffix),MD
1270,24,MD,695,(no suffix),MD
1275,24,RP,695,(no suffix),IS
1281,16,MD,202,E,MD
1332,16,MD,214,(no suffix),MD
1335,15,MD,650,(no suffix),MD
1338,15,MD,118,(no suffix),MD
1341,15,MD,586,(no suffix),MD
1349,16,MD,458,(no suffix),MD
1352,15,MD,124,(no suffix),MD
1353,15,MD,355,(no suffix),MD
1355,15,MD,28,(no suffix),MD
1360,15,MD,115,(no suffix),MD
1362,15,MD,97,(no suffix),MD
1377,3,IS,895,(no suffix),IS
1378,2,IS,895,(no suffix),IS
1420,21,US,40,AL,US
1421,21,MD,34,(no suffix),MD
1425,21,MD,67,(no suffix),MD
1426,21,MD,67,D,MD
1441,15,MD,193,(no suffix),MD
1517,3,MD,695,(no suffix),MD
1536,2,IS,695,(no suffix),IS
1553,3,RP,83,(no suffix),IS
1601,3,IS,83,(no suffix),IS
1686,3,RP,895,(no suffix),IS
1692,3,RP,40,(no suffix),US
1699,3,RP,702,(no suffix),MD
1711,3,RP,151,(no suffix),MD
1728,3,RP,150,(no suffix),MD
1748,3,MD,702,(no suffix),MD
1768,3,IS,795,(no suffix),IS
1769,3,RP,795,(no suffix),IS
1770,3,RP,43,(no suffix),MD
1804,3,RP,140,(no suffix),MD
1810,3,MD,138,(no suffix),MD
1819,3,RP,166,(no suffix),MD
1896,3,RP,195,(no suffix),IS
1914,3,IS,195,(no suffix),IS
2066,3,MD,145,(no suffix),MD
2068,3,MD,166,(no suffix),MD
2120,5,MD,331,D,MD
2122,5,MD,313,(no suffix),MD
2124,5,MD,480,(no suffix),MD
2168,1,MD,51,(no suffix),MD
2169,4,MD,260,D,MD
2173,4,RP,4,(no suffix),MD
2176,1,MD,144,(no suffix),MD
2183,1,US,40,SC,US
2185,7,MD,299,(no suffix),MD
2189,20,MD,333,(no suffix),MD
2192,12,MD,136,(no suffix),MD
2194,21,IS,68,(no suffix),IS
2196,7,MD,7,C,MD
2198,7,US,1,(no suffix),US
2200,15,IS,270,(no suffix),IS
2213,13,MD,32,(no suffix),MD
2215,15,RP,270,(no suffix),IS
2227,15,IS,270,Y,IS
2229,13,RP,216,(no suffix),MD
2249,13,US,29,(no suffix),US
2320,7,MD,272,(no suffix),MD
2325,15,RP,495,(no suffix),IS
2354,15,RP,29,(no suffix),US
2387,15,IS,370,(no suffix),IS
2388,15,MD,121,(no suffix),MD
2390,15,MD,121,A,MD
2391,15,RP,370,(no suffix),IS
2436,15,MD,117,(no suffix),MD
2438,15,RP,270,Y,IS
2452,15,MD,119,(no suffix),MD
2492,15,IS,495,(no suffix),IS
2600,15,MD,929,D,MD
2601,15,MD,929,C,MD
2607,15,MD,655,(no suffix),MD
2608,3,MD,7,(no suffix),MD
2610,15,MD,190,(no suffix),MD
2615,24,MD,26,(no suffix),MD
2626,24,MD,150,(no suffix),MD
2633,15,MD,185,(no suffix),MD
2638,3,MD,940,(no suffix),MD
2656,15,MD,614,(no suffix),MD
2663,15,MD,410,(no suffix),MD
2667,15,MD,384,(no suffix),MD
2676,15,MD,195,(no suffix),MD
2689,24,MD,151,(no suffix),MD
2747,21,MD,56,(no suffix),MD
2761,15,RP,355,(no suffix),MD
2766,15,MD,927,A,MD
2799,16,MD,202,(no suffix),MD
2807,10,US,40,AL,US
2815,16,US,50,(no suffix),US
2835,10,MD,140,(no suffix),MD
2843,16,IS,595,(no suffix),IS
2845,16,MD,208,(no suffix),MD
2847,16,RP,595,(no suffix),IS
2862,16,MD,228,(no suffix),MD
2865,16,MD,5,(no suffix),MD
2874,10,MD,17,(no suffix),MD
2880,15,IS,495,X,IS
2881,13,MD,100,X,MD
2888,10,MD,550,(no suffix),MD
2912,19,MD,675,(no suffix),MD
2913,7,MD,537,C,MD
2915,16,MD,3,(no suffix),MD
2917,16,MD,976,(no suffix),MD
2926,21,MD,632,(no suffix),MD
2928,16,RP,295,(no suffix),MD
